Epic,StoryId,Title,UserStory,AcceptanceCriteria,API,DTO,Priority,Status,Notes
AUTH,CU-US-001,S'inscrire (register),"En tant que visiteur, je veux créer un compte afin de pouvoir accéder à l'application.","POST /api/auth/register avec un body valide -> 200 OK | si erreur métier/validation -> 400 BadRequest {message}","POST /api/auth/register","RegisterDto",P1,Draft,"Le controller renvoie toujours 200 ou 400 (try/catch)"
AUTH,CU-US-002,Se connecter (login),"En tant qu'utilisateur, je veux me connecter afin d'obtenir un jeton et accéder aux endpoints protégés.","POST /api/auth/login avec des identifiants valides -> 200 OK | identifiants invalides/erreur -> 400 BadRequest {message}","POST /api/auth/login","LoginDto",P1,Draft,"Le token/claims exacts dépendent du service"
COINS,CU-US-003,Lister les coins (paginé + recherche),"En tant qu'utilisateur connecté, je veux voir la liste des coins (avec pagination et recherche) afin de naviguer dans le marché.","GET /api/coins (option: query,page,pageSize) -> 200 OK (PaginatedCoinsResponse) | sans token -> 401 Unauthorized",GET /api/coins,"PaginatedCoinsResponse",P1,Draft,"[Authorize] au niveau controller"
COINS,CU-US-004,Consulter un coin par id,"En tant qu'utilisateur connecté, je veux consulter le détail d'un coin afin d'avoir ses informations de marché.","GET /api/coins/{id} -> 200 OK (CoinsMarketDto) | si id inexistant -> 404 NotFound {Message} | sans token -> 401",GET /api/coins/{id},"CoinsMarketDto",P1,Draft,"Message d'erreur: Coin with ID '{id}' not found."
COINS,CU-US-005,Consulter le market chart (90 jours),"En tant qu'utilisateur connecté, je veux voir le market chart d'un coin sur 90 jours afin d'analyser la tendance.","GET /api/coins/{id}/market-chart -> 200 OK (MarketChartDetailsDto) | si introuvable -> 404 NotFound {Message} | sans token -> 401",GET /api/coins/{id}/market-chart,"MarketChartDetailsDto",P2,Draft,"Le controller force defaultDays=90"
WALLET,CU-US-006,Consulter mon wallet,"En tant qu'utilisateur connecté, je veux consulter mon wallet afin de connaître mon solde et mes holdings.","GET /api/wallet -> 200 OK | si userId manquant dans token -> 401 {message} | si wallet inexistant -> 404 {message} | erreur inattendue -> 500 {message,details}",GET /api/wallet,,P1,Draft,"Le userId est lu depuis ClaimTypes.NameIdentifier ou 'sub'"
WALLET,CU-US-007,Acheter un coin,"En tant qu'utilisateur connecté, je veux acheter un coin afin d'investir.","POST /api/wallet/buy -> 200 OK (résultat service) | si userId manquant -> 401 {message}",POST /api/wallet/buy,"BuySellRequestDto",P1,Draft,"Les règles (solde suffisant, coin valide) sont dans IWalletService"
WALLET,CU-US-008,Vendre un coin,"En tant qu'utilisateur connecté, je veux vendre un coin afin de récupérer des fonds.","POST /api/wallet/sell -> 200 OK (résultat service) | si userId manquant -> 401 {message}",POST /api/wallet/sell,"BuySellRequestDto",P1,Draft,"Les règles (holding suffisant) sont dans IWalletService"
WALLET,CU-US-009,Consulter mes transactions,"En tant qu'utilisateur connecté, je veux consulter l'historique de mes transactions afin de suivre mon activité.","GET /api/wallet/transactions -> 200 OK | si userId manquant -> 401 {message}",GET /api/wallet/transactions,,P2,Draft,
WALLET,CU-US-010,Déposer des fonds,"En tant qu'utilisateur connecté, je veux déposer des fonds afin d'augmenter mon solde.","POST /api/wallet/deposit avec Amount>0 -> 200 OK {message,amount} | Amount<=0 -> 400 {message} | si userId manquant -> 401 {message} | si dépôt échoue -> 400 {message} | erreur serveur -> 500",POST /api/wallet/deposit,"DepositRequestDto",P1,Draft,"Validation explicite sur Amount"
WATCHLIST,CU-US-011,Ajouter un coin à ma watchlist,"En tant qu'utilisateur connecté, je veux ajouter un coin à ma watchlist afin de suivre mes favoris.","POST /api/watchlist/{coinId} -> 201 Created (CreatedAtAction) | si userId manquant -> 401 {message} | coin/user introuvable -> 404 {message} | erreur -> 500",POST /api/watchlist/{coinId},,P2,Draft,"Retourne l'item créé"
WATCHLIST,CU-US-012,Supprimer un coin de ma watchlist,"En tant qu'utilisateur connecté, je veux retirer un coin de ma watchlist afin de la maintenir à jour.","DELETE /api/watchlist/{coinId} -> 200 OK {message} | si userId manquant -> 401 {message} | introuvable -> 404 {message} | erreur -> 500",DELETE /api/watchlist/{coinId},,P2,Draft,
WATCHLIST,CU-US-013,Consulter ma watchlist,"En tant qu'utilisateur connecté, je veux consulter ma watchlist afin de voir mes coins favoris.","GET /api/watchlist -> 200 OK | si userId manquant -> 401 {message} | introuvable -> 404 {message} | erreur -> 500",GET /api/watchlist,,P2,Draft,
ALERTS,CU-US-014,Lister mes alertes,"En tant qu'utilisateur connecté, je veux lister mes alertes afin de gérer mes notifications de prix.","GET /api/alerts -> 200 OK | si userId manquant -> 401 {message}",GET /api/alerts,,P2,Draft,
ALERTS,CU-US-015,Créer une alerte de prix,"En tant qu'utilisateur connecté, je veux créer une alerte de prix afin d'être notifié quand un seuil est atteint.","POST /api/alerts -> 200 OK (alerte créée) | validation/erreur métier -> 400 {message} | si userId manquant -> 401",POST /api/alerts,"CreatePriceAlertDto",P1,Draft,"Le controller catch ArgumentException"
ALERTS,CU-US-016,Modifier une alerte de prix,"En tant qu'utilisateur connecté, je veux modifier une alerte afin d'ajuster mes seuils.","PUT /api/alerts/{id} -> 200 OK | si alerte introuvable -> 404 {message} | validation -> 400 {message} | si userId manquant -> 401",PUT /api/alerts/{id},"UpdatePriceAlertDto",P2,Draft,
ALERTS,CU-US-017,Supprimer une alerte,"En tant qu'utilisateur connecté, je veux supprimer une alerte afin de ne plus recevoir de notifications.","DELETE /api/alerts/{id} -> 200 OK {message:'Deleted'} | introuvable -> 404 {message} | si userId manquant -> 401",DELETE /api/alerts/{id},,P2,Draft,
ADMIN,CU-US-018,Lister les utilisateurs (admin),"En tant qu'admin, je veux lister les utilisateurs afin de gérer la plateforme.","GET /api/users -> 200 OK | si non admin/non authentifié -> 401/403 (selon pipeline)",GET /api/users,,P2,Draft,"[AdminOnly] + [Authorize]"
